String,Statement,Label
when was mumpsvax administered in 1960,,"Example Polish call for vaccination against Diphtheria and Tetanus .,Vaccine schedules are developed by governmental agencies or physicians groups to achieve maximum effectiveness using required and recommended vaccines for a locality while minimizing the number of health care system interactions .,Sample vaccinations schedules discussed by the World Health Organization show a developed country using a schedule which extends over the first five years of a child 's life and uses vaccines which cost over $ 700 including administration costs while a developing country uses a schedule providing vaccines in the first 9 months of life and costing only $ 25 ."
when is carnival in trinidad for 2011,,"Two revellers dance in the streets .,The form of dancing is called `` wining '' ( winding ) pronounced wine-ing,A Music Truck entertains the crowd on the streets .,The heart of the musical celebration has been calypso ; recently soca has replaced calypso as the most celebrated type of music .,Carnival as it is celebrated in Trinidad and Tobago is also celebrated in cities worldwide .,Carnival was created when West African slaves mimicked their French owners who where known for their lavish costumes balls ."
who is the mayor of chicago 2011,,Rahm Emanuel won the race for mayor with more than 55 % of the vote .
what is the song pumped up kicks about ?,,"`` Pumped Up Kicks '' is a song by American indie pop band Foster the People .,`` Pumped Up Kicks '' became the group 's breakthrough hit and was one of the most popular songs of 2011 .,The song was written and recorded by frontman Mark Foster while he was working as a commercial jingle writer .,`` Pumped Up Kicks '' received a Grammy Award nomination for Best Pop Duo/Group Performance ."
when is the wv state fair,,"The State Fair of West Virginia is an annual state fair for West Virginia .,Campers are now charged a small fee ."
who was the 16 president of the united states,,"The president is also the commander-in-chief of the United States Armed Forces .,The president is indirectly elected to a four-year term by an Electoral College ( or by the House of Representatives should the Electoral College fail to award an absolute majority of votes to any person ) .,The President must be at least 35 years of age and a `` natural born '' citizen of the United States .,The list does not include any Acting Presidents under the Twenty-fifth Amendment to the United States Constitution .,Warren Harding was the first elected after women gained voting rights in 1920 ."
what is the lombardi trophy made of ?,,"`` Lombardi Trophy '' redirects here .,The trophy is named in honor of legendary NFL coach Vince Lombardi ."
who is the world 's oldest person,,"She met Vincent van Gogh when she was 12 or 13 .,More evidence of Calment 's lifespan has been produced than for any other supercentenarian ; her case serves as an archetype in the methodology for verifying the ages of the world 's oldest people .,He has also been the oldest living man since the death of 114-year old Walter Breuning on 14 April 2011 ."
who is the inside guy on people 's court,,"The system has been duplicated by most of the show 's successors in the judicial genre .,Among examples of these types of court shows include Famous Jury Trials and Your Witness .,The People 's Court has had two contrasting lives .,The show 's first life was presided over solely by former Los Angeles County Superior Court Judge Joseph Wapner .,The show was taped in Los Angeles during its first life .,Sheindlin lasted one and a half seasons as he was replaced towards the end of the 2000Ôø?1 season ( present life 's 4th season and overall show 's 17th ) ."
when was the state of utah established,,"Utah ( or ) ( Arapaho : Wo't√©√©neih√≠ ' ) is a state in the Western United States .,It also touches a corner of New Mexico on the southeast .,Utah is the most religiously homogeneous state in the Union .,The world headquarters of The Church of Jesus Christ of Latter-day Saints ( LDS Church ) is located in Utah 's state capital ."
what is the location of coldwater ms,,It is in the Memphis Metropolitan Area .
what is the function of the hard palate,,"It spans the arch formed by the upper teeth .,It is formed by the palatine process of the maxilla and horizontal plate of palatine bone .,It forms a partition between the nasal passages and the mouth .,Also on the anterior portion of the roof of the hard palate is the Rugae which are the irregular ridges in the mucous membrane that help facilitate the movement of food backwards towards the pharynx .,This partition is continued deeper into the mouth by a fleshy extension called the soft palate ."
what is the jewish bible called,,The Tanakh is also known as the Masoretic Text or the Miqra .
what is the drinking and driving act,,"Sobriety checkpoint in Germany,This is a criminal offense in most nations .,Convictions do not necessarily involve actual driving of the vehicle .,The California BAC limit is 0.01 % for those younger than 21 years of age and those on probation for a previous DUI conviction .,Some jurisdictions have judicial guidelines requiring a mandatory minimum sentence ."
what was the first police department in the United states ?,,"Officers from US Customs and Border Protection boarding a ship,Law enforcement agencies are also involved in providing first response to emergencies and other threats to public safety ; the protection of certain public facilities and infrastructure ; the maintenance of public order ; the protection of public officials ; and the operation of some correctional facilities ( usually at the local level ) ."
when is world war hulk movie come,,It also ran through several other Marvel comics series .
WHERE WAS JOHN WAYNE BORN,,"He found work at local film studios when he lost his football scholarship to USC as a result of a bodysurfing accident .,He died of stomach cancer in 1979 ."
what was galileo galilei 's personality,,His achievements include improvements to the telescope and consequent astronomical observations and support for Copernicanism .
what is the organic layer in an amoled screen,,"55 '' LG OLED TV showcased at CES 2012,Prototype OLED lighting panel developed by Lumiotec,Demonstration of a flexible OLED device,An OLED ( organic light-emitting diode ) is a light-emitting diode ( LED ) in which the emissive electroluminescent layer is a film of organic compound which emits light in response to an electric current .,This layer of organic semiconductor is situated between two electrodes .,A major area of research is the development of white OLED devices for use in solid-state lighting applications .,There are two main families of OLEDs : those based on small molecules and those employing polymers .,OLED displays can use either passive-matrix ( PMOLED ) or active-matrix addressing schemes .,An OLED display works without a backlight ."
what is eggnog made of,,"The finished serving is often garnished with a sprinkling of ground cinnamon or nutmeg .,It was also known as the egg milk punch .,Eggnog may be added as a flavoring to food or drinks such as coffee and tea .,Eggnog as a custard can also be used as an ice cream base ."
what is in a pasty,,Pasties with many different fillings are made ; some shops specialise in selling all sorts of pasties .
what is sympathetic stimulation,,"The ( ortho- ) sympathetic nervous system ( SNS ) is one of three major parts of the autonomic nervous system : the others being the enteric and parasympathetic systems .,Its general action is to mobilize the body 's nervous system fight-or-flight response ."
WHAT IS THE SPEED CLASS FOR CAMERA,,"The Secure Digital standard is maintained by the SD Card Association ( SDA ) .,The Secure Digital format includes four card families available in three different form factors .,There are many combinations of form factors and device families .,Electrically passive adapters allow the use of a smaller card in a host device built to hold a larger card .,A newer card may offer greater capacity than the host device can handle .,A newer card may use a file system the host device can not navigate .,Use of an SDIO card requires the host device be designed for the input/output functions the card provides .,The organization of the card was changed starting with the SDHC family .,Some vendors produced SDSC cards above 1 GB before the SDA had standardized a method of doing so .,The SDA uses several trademarked logos to enforce compliance with its specifications and assure users of compatibility ."
what was the criticism of the new deal,,The following is a List of critics of the New Deal .
where is larry the cable guy from,,Whitney 's catchphrase : `` Git-R-Done ! '' is also the title of his book .
what is the purpose of vitamin d,,"Vitamin D is a group of fat-soluble secosteroids responsible for intestinal absorption of calcium and phosphate .,Cholecalciferol ( vitamin D3 ) and ergocalciferol ( vitamin D2 ) are unique as they constitute what we know as vitamin D and can be ingested from the diet and/or supplements .,( Cats and dogs can not synthesize vitamin D efficiently and must receive it in their diet . ),The best evidence of benefit is for bone health and a decrease in mortality in elderly women ."
what is an element on a periodic table,,"Standard form of the periodic table .,The colors represent different categories of elements explained below .,Elements are presented in order of increasing atomic number ( number of protons ) .,He developed his table to illustrate periodic trends in the properties of the then-known elements .,Mendeleev also predicted some properties of then-unknown elements that would be expected to fill gaps in this table .,Most of his predictions were proved correct when the elements in question were subsequently discovered .,Mendeleev 's periodic table has since been expanded and refined with the discovery or synthesis of further new elements and the development of new theoretical models to explain chemical behavior .,All elements from atomic numbers 1 ( hydrogen ) to 118 ( ununoctium ) have been discovered or synthesized .,The elements after 98 have only been synthesized in laboratories .,Numerous synthetic radionuclides of naturally occurring elements have also been produced in laboratories ."
what is minimum wage of 2010,,About 2.0 million were reported as earning wages below the minimum .
what is bourbon made of,,"Evan Williams bourbon whiskey,Bourbon whiskey is a type of American whiskey Ôø?a barrel-aged distilled spirit made primarily from corn .,It has been produced since the 18th century ."
what is cta used for,,Computed tomography angiography ( CTA ) is a computed tomography technique used to visualize arterial and venous vessels throughout the body .
where is bastille day celebrated,,"The Champs-√âlys√©es decorated with flags for Bastille Day,Horseman of the French Republican Guard during the 2007 military parade on the Champs-√âlys√©es .,Prise de la Bastille by Jean-Pierre-Louis-Laurent Houel,Festivities and official ceremonies are held all over France ."
when was america pioneered,,"The country also has five populated and nine unpopulated territories in the Pacific and the Caribbean .,European colonization began around 1600 and came mostly from England .,The United States emerged from thirteen British colonies located along the Atlantic seaboard .,Disputes between Great Britain and the American colonies led to the American Revolution .,The American Civil War ended legalized slavery in the United States .,The Spanish‚ÄìAmerican War and confirmed the country 's status as a global military power .,The end of the Cold War and the dissolution of the Soviet Union left the United States as the sole superpower ."
where was the first march madness game played,,"The NCAA has credited Bob Walsh of the Seattle Organizing Committee for starting the March Madness celebration during 1984 .,Lower-ranked teams are placed in the bracket against higher ranked teams .,The tournament has been at least partially televised since 1969 .,Duke University ranks fifth with 4 national titles ."
what is neo lubrication,,"A sample of synthetic motor oil,Synthetic oil is a lubricant consisting of chemical compounds that are artificially made ( synthesized ) ."
what is steve-from jackass last name,,The show placed # 68 on Entertainment Weekly `` New TV Classics '' list .
who is roseanne barr married to,,"Barr began her career in stand-up comedy at clubs before gaining fame for her role in the sitcom Roseanne .,She won both an Emmy and a Golden Globe Award for Best Actress for her work on the show .,Barr had crafted a `` fierce working-class domestic goddess '' persona in the eight years preceding her sitcom and wanted to do a realistic show about a strong mother who was not a victim of patriarchal consumerism .,Barr lost the nomination to Jill Stein ."
when was jesus baptized,,"Francesco Albani 's 17th century Baptism of Christ is a typical depiction with the sky opening and the Holy Spirit descending as a dove .,The baptism of Jesus marks the beginning of his public ministry .,In so doing he was preparing the way for Jesus .,Jesus came to the Jordan River where he was baptized by John .,Most modern scholars view the fact that Jesus was baptized by John as an historical event to which a high degree of certainty can be assigned .,Most Christian denominations view the baptism of Jesus as an important event and a basis for the Christian rite of baptism ( see also ) .,It is a Trinitarian feast in the Eastern Orthodox Churches ."
what is vitamin b12 used for,,"Methylcobalamin ( shown ) is a form of vitamin B12 .,It is one of the eight B vitamins .,The vitamin is the largest and most structurally complicated vitamin and can be produced industrially only through bacterial fermentation-synthesis .,It contains the biochemically rare element cobalt .,The extra utility of these is currently debated .,Many other subtler kinds of vitamin B12 deficiency and their biochemical effects have since been elucidated ."
who was in full metal jacket,,"The film follows a platoon of U.S. Marines through their training and the experiences of two of the platoon 's Marines in the Tet Offensive during the Vietnam War .,The film 's title refers to the full metal jacket bullet used by infantry riflemen .,The film received critical acclaim ."
what is tmz stand for,,"The name TMZ stands for the historic `` studio zone `` or 30-mile zone radius from the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles .,Levin has stated that `` everything is researched and vetted for accuracy . ''"
who was the killer in scream 3,,"The events of the story are set three years after those of Scream 2 and follows Sidney Prescott ( Campbell ) who has gone into self-imposed isolation following the events of the previous two films but is drawn to Hollywood after a new Ghostface begins killing the cast of the film within a film `` Stab 3 '' .,Scream 3 combines the violence of the slasher genre with comedy and `` whodunit `` mystery while satirizing the clich√© of film trilogies .,Williamson 's commitments to other projects meant he was unable to develop a complete script for Scream 3 and writing duties were undertaken by Ehren Kruger who discarded much of Williamson 's notes .,Craven and Marco Beltrami returned to direct and score the film respectively as they had with the previous two series entries .,Despite negative criticism the film did receive praise with reviewers calling it the perfect end to the Scream trilogy ."
when is jla 1 scheduled for release,,JLA was a monthly comic book published by DC Comics from January 1997 to April 2006 featuring the Justice League .
what is colonial americans day in usa,,"The colonial history of the United States covers the history of European settlements from the start of colonization of America until their incorporation into the United States .,Small early attempts‚Äîsuch as the English Lost Colony of Roanoke ‚Äîoften disappeared ; everywhere the death rate of the first arrivals was very high .,Nevertheless successful colonies were established .,European settlers came from a variety of social and religious groups .,Occasionally one colony took control of another ( during wars between their European parents ) .,Only in Nova Scotia ( now part of Canada ) did the conquerors expel the previous colonists .,Instead they all lived side by side in peace .,By 1760 France was defeated and the British seized its colonies .,See timeline of Colonial America for list of historical events ."
who is anderson cooper 's mom ?,,She is a member of the prominent Vanderbilt family of New York and the mother of CNN 's Anderson Cooper .
what is the significance of Greenwich England,,His 180th meridian runs along the Strait of Ani√°n ( Bering Strait )
what is ROB from mario,,"It was released in July 1985 in Japan and later that year in North America .,R.O.B . was released with the intention of portraying the Nintendo Entertainment System as something novel in order to alleviate retail fears following the video game crash of 1983 .,Stack-Up was purchased separately and included its own physical game pieces ."
where is mint mark on liberty standing half,,The Walking Liberty half dollar was a silver 50-cent piece or half dollar coin issued by the United States Mint from 1916 to 1947 ; it was designed by Adolph A. Weinman .
what is the width of a 1995 toyota 4 runner,,"The Toyota 4Runner is a mid-size sport utility vehicle ( SUV ) produced by the Japanese manufacturer Toyota and sold throughout the world from 1984 to present .,In Japan it was known as the Toyota Hilux Surf .,Its mid-size crossover SUV counterpart is the Toyota Highlander ."
who was the first one to invent medicine,,"This article deals with medicine as practiced by trained professionals from ancient times to the present .,The ancient Egyptians had a system of medicine that was very advanced for its time and influenced later medical traditions .,Universities began systematic training of physicians around the years 1220 in Italy .,The germ theory of disease in the 19th century led to cures for many infectious diseases .,Military doctors advanced the methods of trauma treatment and surgery .,Public health measures were developed especially in the 19th century as the rapid growth of cities required systematic sanitary measures .,The 21st century is characterized by very advanced research involving numerous fields of science ."
what is the half life of potassium 40,,"Potassium is a chemical element with symbol K ( from Neo-Latin kalium ) and atomic number 19 .,Potassium in nature occurs only in ionic salts .,Potassium ions are necessary for the function of all living cells ."
what is singapore 's currency,,"The Singapore dollar or dollar ( sign : $ ; code : SGD ) is the official currency of Singapore .,It is divided into 100 cents .,The dollar is accepted as `` customary tender '' in Brunei according to the Currency Interchangeability Agreement ."
what is the coleman report for white flight ?,,"He was elected president of the American Sociological Association .,His Foundations of Social Theory influenced sociological theory ."
What is the source of a superhero 's powers ?,,"A superhero ( sometimes rendered super-hero or super hero ) is a type of stock character possessing `` extraordinary or superhuman powers '' and dedicated to protecting the public .,The word itself dates to at least 1917 .,A female superhero is sometimes called a superheroine ( also rendered super-heroine or super heroine ) .,`` SUPER HEROES '' is a trademark co-owned by DC Comics and Marvel Comics .,Such characters were generally referred to as `` mystery men '' in the so-called Golden Age of Comic Books to distinguish them from characters with super-powers ."
who is sam 's father on one live to live,,The following is a historical list of actors and primary character roles which appear on the American soap opera One Life to Live .
what is the plot of the shawshank redemption ?,,"The Shawshank Redemption is a 1994 American drama film written and directed by Frank Darabont and starring Tim Robbins and Morgan Freeman .,It was included in the American Film Institute 's 100 Years ... 100 Movies 10th Anniversary Edition ."
what is an information technology manager,,IT management is the discipline whereby all of the technology resources of a firm are managed in accordance with its needs and priorities .
what is the scientific name of a cardinal bird,,"`` Red Cardinal '' redirects here .,The Northern Cardinal ( Cardinalis cardinalis ) is a North American bird in the genus Cardinalis ; it is also known colloquially as the redbird or common cardinal .,The Northern Cardinal is a mid-sized songbird with a body length of 21 centimeters ( 8.3 inches ) .,It has a distinctive crest on the head and a mask on the face which is black in the male and gray in the female ."
what is topsoil used for,,"Topsoil as well as farm fertilizers and other potential pollutants run off unprotected farm fields when heavy rains occur .,It has the highest concentration of organic matter and microorganisms and is where most of the Earth 's biological soil activity occurs ."
when was sechs Kleine Klavierstucke by arnold schoenberg written,,Note that the notes do not come in spelling order but are all adjacent ( not separated by other notes ) .
when is the feast of St. Rita,,Rita was married at an early age .
what is the population of north america,,"North America is a continent wholly within the Northern Hemisphere and almost wholly within the Western Hemisphere .,It is also considered a northern subcontinent of the Americas .,The first people to live in North America were Paleoindians who began to arrive during the last glacial period by crossing the Bering land bridge .,They differentiated into a number of diverse cultures and communities across the continent .,The largest and most advanced Pre-Columbian civilizations in North America were the Aztecs in what is now Mexico and the Mayans in Central America ."
where is j.cole from,,He received a nomination for Best New Artist at the 54th Grammy Awards .
what is ratchet from ratchet and clank,,"Ratchet & Clank is a series of platform video games .,An animated feature film adaptation produced by Rainmaker Entertainment and Blockade Entertainment is scheduled for a theatrical release sometime in 2015 ."
what is in a will,,A will may also create a testamentary trust that is effective only after the death of the testator .
where is solar energy present\,,"The 19.9 MW Gemasolar solar plant in Spain features 15 hours of storage and can supply power 24 hours a day .,Active solar techniques include the use of photovoltaic panels and solar thermal collectors to harness the energy .,These advantages are global .,Hence the additional costs of the incentives for early deployment should be considered learning investments ; they must be wisely spent and need to be widely shared '' ."
where is thomas more buried,,"He was an important councillor to Henry VIII of England and was Lord Chancellor from October 1529 to 16 May 1532 .,He was canonized by Pope Pius XI in 1935 as one of the early martyrs of the schism that separated the Church of England from Rome in the 16th century .,Intellectuals and statesmen across Europe were stunned by More 's execution ."
what was captain nemo 's nationality ?,,He is also wracked by remorse over the deaths of his crew members and even by the deaths of enemy sailors .
where is modem on WAN radio internet ?,,"Acoustic coupler modem,The goal is to produce a signal that can be transmitted easily and decoded to reproduce the original digital data .,The most familiar example is a voice band modem that turns the digital data of a personal computer into modulated electrical signals in the voice frequency range of a telephone channel .,These signals can be transmitted over telephone lines and demodulated by another modem at the receiver side to recover the digital data ."
when was the Declaration of Independence Signed ?,,"Instead they now formed a new nation‚Äîthe United States of America .,It was initially published as the printed Dunlap broadside that was widely distributed and read to the public .,The original July 4 United States Declaration of Independence manuscript was lost while all other copies have been derived from this original document .,The sources and interpretation of the Declaration have been the subject of much scholarly inquiry .,The passage came to represent a moral standard to which the United States should strive .,It has inspired work for the rights of marginalized people throughout the world ."
What is hydrogen in,,"Hydrogen is a chemical element with symbol H and atomic number 1 .,Non- remnant stars are mainly composed of hydrogen in its plasma state .,Most of the hydrogen on Earth is in molecules such as water and organic compounds because hydrogen readily forms covalent compounds with most non-metallic elements .,Hydrogen plays a particularly important role in acid-base chemistry with many reactions exchanging protons between soluble molecules ."
where was the movie unstoppable directed,,"It was Scott 's final feature film before his death in 2012 .,It received mostly favorable reviews from film critics ; it garnered a `` Certified Fresh '' rating on Rotten Tomatoes based upon aggregated reviews and a rating of `` Generally favorable reviews '' at Metacritic ."
what is bracketing in photography,,Autobracketing is automatic bracketing by using a setting on the camera to take several bracketed shots ( in contrast to the photographer altering the settings by hand between each shot ) .
what is the difference between inside glazed outside glaze,,"Insulated Glass Units are manufactured with glass in range of thickness from 3 mm to 10 mm or more in special applications .,Laminated or tempered glass may also be used as part of the construction .,Most units are manufactured with the same thickness of glass used on both panes but special applications such as acoustic attenuation or security may require wide ranges of thicknesses to be incorporated in the same unit .,These variations are allowed for architectural and cost reasons .,Other combinations can be specified and produced but the manufacturer may reserve the right to limit the term of the warranty or refuse to warranty the unit altogether .,Applying the corresponding nomenclature for triple paned units results in surfaces # 1 through # 6 .,The performance of insulating glazing can be modified through the use of the following:,A typical installation of insulated glazing windows with uPVC window frames ."
what is selenium and how used,,"Selenium is a chemical element with symbol Se and atomic number 34 .,It is a nonmetal with properties that are intermediate between those of its periodic table column-adjacent chalcogen elements sulfur and tellurium .,The chief commercial uses for selenium today are in glassmaking and in pigments .,Selenium is a semiconductor and is used in photocells .,Selenium continues to be used in a few types of DC power surge protectors and one type of fluorescent quantum dot .,Selenium is a component of the antioxidant enzymes glutathione peroxidase and thioredoxin reductase ( which indirectly reduce certain oxidized molecules in animals and some plants ) ."
who were the gop presidential hopefuls in 2006,,"The United States presidential election of 2008 was the 56th quadrennial presidential election .,Domestic policy and the economy eventually emerged as the main themes in the last few months of the election campaign after the onset of the worst recession since the 1930s .,Obama would go on to win a decisive victory over McCain in both the electoral and popular vote .,This was also the first election since 1952 in which neither of the major parties ' nominees was the incumbent President or Vice President ."
what is prince of monaco last name,,"The Sovereign Prince or Princess of Monaco is the reigning monarch and head of state of the Principality of Monaco .,The reigning Prince is Albert II ."
What is the disk defragmenter tool,,"Visualization of fragmentation and then of defragmentation,It does this by physically organizing the contents of the mass storage device used to store files into the smallest number of contiguous regions ( fragments ) .,It also attempts to create larger regions of free space using compaction to impede the return of fragmentation .,Defragmentation is advantageous and relevant to file systems on electromechanical disk drives ."
what is level of agreement mean,,A service-level agreement ( SLA ) is a part of a service contract where a service is formally defined .
what is rascal flatts song why about,,"`` Why '' is the title of a song recorded by American country band Rascal Flatts .,It was written by Rob Mathes and Allen Shamblin ."
who is a utilization manager,,"Typically it includes new activities or decisions based upon the analysis of a case .,The difference is utilization management is and intends to manage health care cases efficiently and cost effectively before and during health care administration .,Utilization review is more considering whether health care was appropriately applied after it was administered .,There are four basic techniques in utilization management:,Demand Management,Utilization Review,Case Management,Disease Management"
where was the outsiders book wrote at,,Hinton was 18 when the book was published .
what is the salary for a representative,,"The United States House of Representatives is one of the two houses of the United States Congress ( a bicameral legislature ) .,It is frequently referred to as the House .,The other house is the Senate .,The composition and powers of the House are established in Article One of the United States Constitution .,The major power of the House is to pass federal legislation that affects the entire country although its bills must also be passed by the Senate and further agreed to by the U.S. President before becoming law ( unless both the House and Senate re-pass the legislation with a two-thirds majority in each chamber ) .,Each U.S. state is represented in the House in proportion to its population but is entitled to at least one representative .,The total number of voting representatives is fixed by law at 435 .,Each representative serves for a two-year term .,The House meets in the south wing of the United States Capitol ."
when was supply chain management developed,,"A supply chain is actually a complex and dynamic supply and demand network .,Supply chains link value chains ."
when was purple haze by jimi hendrix made ?,,"It later appeared on the American version of the band 's 1967 album Are You Experienced .,`` Purple Haze '' has become one of the `` archetypical psychedelic drug songs of the sixties '' .,`` Purple Haze 's '' guitar virtuosic techniques would be emulated by many metal guitarists ."
what is human skin made of,,"A close up picture of a rhinoceros skin .,Skin is the soft outer covering of vertebrates .,The skin interfaces with the environment and is the first line of defense from external factors .,Severely damaged skin may heal by forming scar tissue .,This is sometimes discoloured and depigmented .,The thickness of skin also varies from location to location on an organism .,The skin on the palms and the soles of the feet is 4 mm thick and the thickest skin in the body .,Fur is dense hair .,Amphibian skin is not a strong barrier to passage of chemicals and is often subject to osmosis and diffusive forces ."
Who was John Scott regarding the Bible,,Thomas Scott
who is the actor that plays harry potter,,"Some of the most renowned actors of the United Kingdom and Ireland have voiced or portrayed characters appearing in the Harry Potter film series based on the book series by J. K. Rowling .,When they were cast only Radcliffe had previously acted in a film .,Thirteen actors have appeared as the same character in all eight films of the franchise .,I was a bit too old for Harry '' .,I know some who are still waiting . '',She announced that she could never have dreamt of the talented actors and actresses who have appeared in all the Harry Potter movies .,Key,( v ) indicates the actor or actress lent only his or her voice for his or her film character,( y ) indicates the actor or actress portrayed the role in a flashback scene or when the character was young .,( f ) indicates the actor or actress did not appear in any new footage for the film ; footage from an earlier film or films was used .,A light grey cell ( such as the one in the `` Charity Burbage '' row in the `` Philosopher 's Stone '' column ) indicates the character was not in the film adaptation ."
what is the average time it takes to go through aa 12 step program,,"The method was then adapted and became the foundation of other twelve-step programs .,admitting that one can not control one 's addiction or compulsion ;,recognizing a higher power that can give strength ;,examining past errors with the help of a sponsor ( experienced member ) ;,making amends for these errors ;,learning to live a new life with a new code of behavior ;,helping others who suffer from the same addictions or compulsions ."
what is an incompetent witness,,The Federal Rules of Evidence contain the rules governing impeachment in federal courts .
who are the current minority leaders in the house of representatives,,"Party leaders and whips of the United States House of Representatives are elected by their respective parties in a closed-door caucus by secret ballot and are also known as floor leaders .,The U.S. House of Representatives does not officially use the term `` Minority Leader '' although the media frequently do .,The House instead uses the terms `` Republican Leader '' or `` Democratic Leader '' depending on which party holds a minority of seats ."
what was the Germans ' last offensive on the western Front during World war 2,,"The tide of the advance was dramatically turned with the Battle of the Marne .,This line remained essentially unchanged for most of the war .,Between 1915 and 1917 there were several major offensives along this front .,The attacks employed massive artillery bombardments and massed infantry advances .,But it was only after the adoption of improved tactics that some degree of mobility was restored .,The German Spring Offensive of 1918 was made possible by the Treaty of Brest-Litovsk that marked the end of the conflict on the Eastern Front .,The terms of peace were agreed upon with the signing of the Treaty of Versailles in 1919 ."
who is lance on suite life of zack and cody,,"The following is a list of recurring and minor characters in the Disney Channel Original Series The Suite Life of Zack & Cody .,Some of the characters had no last name and most were commonly referred to by their first name so this appeared to be the most logical method ."
What is the full name of the first lady and the vp wife,,"The First Lady of the United States ( FLOTUS ) is the hostess of the White House .,The current First Lady is Michelle Obama ."
what is the mortality rate of sepsis,,"It can cause multiple organ dysfunction syndrome ( formerly known as multiple organ failure ) and death .,The mortality rate from septic shock is approximately 25Ôø?0 % ."
where is kos from ?,,"He sometimes plays guitar and keyboard both during live performances and in the studio .,He reappeared briefly in 1999 and released his debut album Exit in 2002 .,The album received positive reviews but sold relatively few copies .,His fifth album BLack on BLonde was released in 2013 ."
what is Uniform Commercial Code Article 4A,,"The official 2007 edition of the UCC .,Even the confidential rough drafts of the UCC were saved and published as a 10-volume set ."
what is pitch in climbing,,"Multi-pitch climbing is the ascent of climbing routes with one or more stops at a belay station .,Each section of actual climbing between stops at the belay stations is called a pitch .,For example:,The rope is too short to do the entire route in one pitch ( necessity ) .,The leader has run out of protective gear ( necessity ) .,The leader chooses to rest or exchange leads before the next section of the climb ( choice ) .,The general purpose of these stops is to allow the second to ascend to the point of the lead climber while collecting the protective gear from the route in the course of the lead climber 's ascent ."
what is the defensive line in football called,,"A diagram showing an I Formation on offense and a 4-3 Formation on defense,The specific role that a player takes on the field is called their position ."
what is tylenol 3 on schedule of drugs,,"The Controlled Substances Act ( CSA ) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970 .,The Act also served as the national implementing legislation for the Single Convention on Narcotic Drugs ."
what is the address of mother 's park & ride in wayne nj,,"The Wayne Township bus garage is located on the opposite side of Route 23 .,There has been a proposal to build a parking deck with another thousand spots and develop the land at the station .,75 to Newark Penn Station and Butler,194 to Port Authority Bus Terminal and Butler/Newfoundland,198 to Port Authority Bus Terminal and William Paterson University,324 to Port Authority and Wayne Route 23,748 to Willowbrook Mall and Paterson"
what is the @ sign called ?,,"It is now universally included on computer keyboards .,The mark is encoded at ."
who is the book the catcher in the rye by ?,,"The Catcher in the Rye is a 1951 novel by J. D. Salinger .,It has been translated into almost all of the world 's major languages .,It has been frequently challenged in the United States and other countries for its liberal use of profanity and portrayal of sexuality ."
what is the deepest muscle in your body,,"Skeletal muscles homo sapiens,This is a table of muscles of the human anatomy .,Examples range from 640 to 850 .,The action refers to the action of each muscle from the standard anatomical position ."
who are the girls from the bad girls club ?,,"Bad Girls Club ( BGC ) is an American reality television series created by Jonathan Murray for the Oxygen television station .,They are introduced to the show off their pernicious behavior and accomplish specific goals .,Their lives inside Ôø?and outside Ôø?of the house are chronicled and recorded by the production team .,The format of the show has changed from early seasons .,There have been three spin-offs of The Bad Girls Club .,Tanisha Thomas ( of season two ) later hosted Oxygen 's OxygenLive !,and the subsequent seasons of Love Games : Bad Girls Need Love Too .,As of Season 8 she 's been the host of the reunion specials ."
who is iowa 's state senator ?,,"The Iowa Senate is the upper house of the Iowa General Assembly .,Each Senate district is composed of two House districts .,The Senate meets at the Iowa State Capitol in Des Moines .,There are no term limits for the Senate ."
what is base operations & maintenance,,"Mechanical repair,It also includes performing routine actions which keep the device in working order ( known as scheduled maintenance ) or prevent trouble from arising ( preventive maintenance ) .,In the former case it may be a backshop operation within a larger organisation or smaller operation .,The latter of the categorisations is an open loop supply chain and is typified by refurbishment and remanufacture .,The main characteristic of the closed loop system is that the demand for a product is matched with the supply of a used product .,Neglecting asset write-offs and exceptional activities the total population of the product between the customer and the service provider remains constant ."
what is prince williams last name,,"Prince William was educated at four schools in the United Kingdom and obtained a degree from the University of St Andrews .,Prince William has also taken Kiswahili studies at universities in Kenya and Tanzania ."
what is soulja boy 's latest song,,"On August 17 Way was listed at # 18 on the Forbes list of Hip-Hop Cash Kings of 2010 earning $ 7 million for that year .,Way has currently released three studio albums and one independent album : his debut studio album Souljaboytellem.com ( 2007 ) was certified platinum by the RIAA .,This was mainly due to negotiation problems with Interscope Records which meant a limited amount of records were made available to the public ."
What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain ?,,"The electron transport chain in the mitochondrion is the site of oxidative phosphorylation in eukaryotes .,Photosynthetic electron transport chain of the thylakoid membrane .,An electron transport chain ( ETC ) couples electron transfer between an electron donor ( such as NADH ) and an electron acceptor ( such as O2 ) with the transfer of H+ ions ( protons ) across a membrane .,The resulting electrochemical proton gradient is used to generate chemical energy in the form of adenosine triphosphate ( ATP ) ."
