String,new_string
what is blood urea,[{'generated_text': 'how much urea should a human adult blood be used for ?'}]
who was the player for the detroit lions that wayne fontes did a tribute to,[{'generated_text': 'how many losses did his team win ?'}]
where are the most concentration of jews living,[{'generated_text': 'how many times has the Hasmonean Kingdom been in history ?'}]
what is corpus christi holiday,[{'generated_text': 'what is the name of the Corpus Christi procession ?'}]
where is c-reactive protein made,[{'generated_text': 'what is the function ofCRP ?'}]
who was the first european in the americas,[{'generated_text': 'what was the period of the Columbian Exchange ?'}]
who is keith richards married to ?,[{'generated_text': 'what is the subject discussed in the text ?'}]
where is testosterone produced,[{'generated_text': 'how many kinds of steroids are mentioned in the text ?'}]
what is the difference between multistage and cluster sampling,[{'generated_text': 'what is the common motivation for cluster sampling ?'}]
who is natalie portman married to,"[{'generated_text': ""where did she finish her bachelor 's degree ?""}]"
what is cu the element,[{'generated_text': 'which of the statements is not true ?'}]
what is the largest major league sport in the world ?,[{'generated_text': 'why are major league teams concentrated in the most populous city ?'}]
what is latitude for observer at equator,[{'generated_text': 'what isidian Altitude ?'}]
what is Planned Value Cost,[{'generated_text': 'what can be a suitable title for the text ?'}]
when is the first day of spring,[{'generated_text': 'what is the spring garden flowers ?'}]
where was john deere born ?,"[{'generated_text': 'what did the phrase "" nothing Runs like a Deere "" mean ?'}]"
who is on the $ 10 . bill,[{'generated_text': 'how many reasons are given why $ 10 bills are used in the us today ?'}]
who was the first to argue that the sun was the center of the universe,[{'generated_text': 'what is the heliocentric view according to the text ?'}]
who is norah jones parents,"[{'generated_text': ""who is anoushka Shankar 's half-sister ?""}]"
what is the fourth dimension of physics,[{'generated_text': 'what is the state-space of quantum mechanics ?'}]
who is fontana CA named after ?,[{'generated_text': 'what is the fastest half-marathon course in the world ?'}]
what is the capacity of the cowboy stadium,[{'generated_text': 'where can you find the text ?'}]
What were the major economic activities of the early Canadians,[{'generated_text': 'what is the staples thesis ?'}]
what is Carbon 14 dating is a type of ?,[{'generated_text': 'what is carbon ?'}]
what is the mortality rate for lightning strikes,[{'generated_text': 'why is lightning a physical form of energy transfer ?'}]
when was peter kilmartin elected,[{'generated_text': 'what is the current Attorney General of Rhode Island ?'}]
What is sealing contact ?,[{'generated_text': 'who is the sealing authority ?'}]
what was the name of the magazine all teenager read in 2000s,[{'generated_text': 'what was the aim of the european union ?'}]
when was the battle at tombstone fought,[{'generated_text': 'how many people were killed in the fight ?'}]
what is hdmi out,[{'generated_text': 'when did the first products appear on the market ?'}]
what is brees daughter 's name in desperate housewives,[{'generated_text': 'who is the real name of Bree van de Kamp ?'}]
what is the population of algoma wi for 2010,[{'generated_text': 'where does this text probably come from ?'}]
what is the hangover 2 about ?,"[{'generated_text': 'what was the first film in the "" the Hangover "" series ?'}]"
what is renaissance english,[{'generated_text': 'what was the pan-European Renaissance ?'}]
Who is the husband of Betty Ford,[{'generated_text': 'what made her fight against alcoholism so successful ?'}]
what is pecan a marker for,[{'generated_text': 'what is the function of pECAM-1 in human ?'}]
who was the runner up for miss usa,[{'generated_text': 'how many times has a woman placed in the top 16 in the contest ?'}]
where is smoked salmon from,[{'generated_text': 'what kiln was used for ?'}]
what is the voltage of a medical defibrillator,[{'generated_text': 'what is a device called a defibrillator ?'}]
what was Coco Chanel 's real first name ?,[{'generated_text': 'how many people were mentioned in the article ?'}]
what is grist mill stone,"[{'generated_text': ""what 's the relationship between the mill and the mill ?""}]"
what is romania like ?,[{'generated_text': 'who was the first monarch of the Kingdom of Romania ?'}]
WHERE WAS THE 1ST GREEK CITY FOUND ANCIENT TIMES,[{'generated_text': 'how many times does the term ancient history come from ?'}]
what is rda for vitamin b12,[{'generated_text': 'what is the extra utility of vitamin B12 ?'}]
who was the last roman emperor and how old was he when he ruled,[{'generated_text': 'when did the Pax Romana begin ?'}]
what is the rule of the 9s,[{'generated_text': 'what percentage of burns is used in total body area ?'}]
what is libya 's imr,[{'generated_text': 'what countries had the highest infant death rates in 2008 ?'}]
where is kj 52 from,"[{'generated_text': 'what \'s the name of the song "" Dear Slim "" ?'}]"
what is the sign for degrees,[{'generated_text': 'what is Unicode ?'}]
what is the root word of ovaries,[{'generated_text': 'what should we do when we use medical roots ?'}]
what is the prognosis of stomach cancer,[{'generated_text': 'what is the 5-year survival of a patient with advanced disease ?'}]
who is sara evans married to,[{'generated_text': 'when did she write this article ?'}]
what is the world 's biggest religion,[{'generated_text': 'why did the theory begin in the 18th century ?'}]
What was berlin blockade problem,[{'generated_text': 'what was the result of the war in the us ?'}]
what is the symbol for euro,[{'generated_text': 'how was the design presented to the public ?'}]
what is el mate,"[{'generated_text': 'what is a "" bombilla "" ?'}]"
where was the auto industry started,[{'generated_text': 'what was proposed by Elmer Sperry ?'}]
what is dave batista doing now,[{'generated_text': 'what is the longest-reigning world Heavyweight Champion in WWE history ?'}]
WHO IS HENRY SAMPSON JR .,[{'generated_text': 'who was awarded the black Image Award from Aerospace Corporation ?'}]
where is robert gibbs from,[{'generated_text': 'when didibbs make his first appearance ?'}]
where is pitbull from,[{'generated_text': 'how many digital singles and albums has Rebelution sold worldwide ?'}]
What was the original name of the holiday known today as Halloween ?,"[{'generated_text': 'what does the word "" samhain "" mean ?'}]"
what is the age you have to be to have the right to freedom of speech,[{'generated_text': 'what is freedom of speech ?'}]
when was the sydney harbour bridge built,[{'generated_text': 'what is the similarity between the Harbour Bridge and the Coathanger ?'}]
what is the name for the oldest island in the hawaiian hot spots,[{'generated_text': 'what is the age of the volcanoes to the north of the islands ?'}]
what is tasha from the backyardigans,[{'generated_text': 'what is the show about ?'}]
when was eddie and the cruisers 1 and 2 released ?,[{'generated_text': 'what was Rebel ?'}]
what is the disease osteonecrosis of the jaw ?,[{'generated_text': 'what is osteonecrosis of the jaw ?'}]
what is mincemeat made of,[{'generated_text': 'what is mincemeat ?'}]
where was princess diana from,[{'generated_text': 'when didiana get married to the prince of Wales ?'}]
What Is Argentina Known For,[{'generated_text': 'how many Nobel prizes has the country won ?'}]
what is Polyester in packaging PET,[{'generated_text': 'what is the first step after esterification/transesterification ?'}]
who are the two senators of louisiana,[{'generated_text': 'who is in favor of the bill ?'}]
what is in black and white pudding,[{'generated_text': 'where does the dish come from ?'}]
WHO ARE THE STAKEHOLDERS IN A CHANGE PROCESS,"[{'generated_text': 'what does the word "" stakeholder "" mean ?'}]"
who is director jack smight,[{'generated_text': 'who wrote the score for the film Roll of Thunder Hear my Cry ?'}]
what is dmitri mendeleev 4,[{'generated_text': 'how old was Dmitri Ivanovich Mendeleev when he died ?'}]
where is modesto california,[{'generated_text': 'what is the theme of the movie American Graffiti ?'}]
when was july 4 th declare a federal holiday,[{'generated_text': 'when is the national day of the us ?'}]
what is the female symbol called,[{'generated_text': 'what is an agent by gender ?'}]
what is leasehold ; real estate,[{'generated_text': 'what is aleasehold ?'}]
what is Olivia 's brother 's name ?,"[{'generated_text': ""what has won a silver Parents ' Choice award ?""}]"
where was the first canal in panama located,[{'generated_text': 'how many countries are mentioned in the text ?'}]
who was the president when benjamin franklin was alive,[{'generated_text': 'who was the first president of the american Philosophical Society ?'}]
who is leaving criminal minds,[{'generated_text': 'who will develop a video game based on the show ?'}]
what is the song heart shaped box about,"[{'generated_text': ""what 's the title of the album ?""}]"
What is Denver 's oldest operating hotel ?,[{'generated_text': 'where is the brown Palace Interior and Atrium ?'}]
what is the resolution of a standard dvd ?,[{'generated_text': 'what was the first commercial DVD made ?'}]
WHAT IS THE LENGTH OF A NAUTICAL MILE,[{'generated_text': 'where does the nautical mile come from ?'}]
what is firewire used for,[{'generated_text': 'what is the IEEE 1394 standard ?'}]
when was srv born,[{'generated_text': 'why was the memorial statue built ?'}]
what is ethernet gigabit,[{'generated_text': 'what is the disadvantage of the new standards ?'}]
when were forever stamps introduced,[{'generated_text': 'what is a postage stamp ?'}]
what is tofu made of,[{'generated_text': 'why did the spread of tofu spread into other parts of the world ?'}]
what is muse 's lead singer 's name,[{'generated_text': 'how many times has black Holes and Revelations been honored by the public ?'}]
what is life all about,[{'generated_text': 'what is the meaning of life according to the text ?'}]
who is the actor who played the gay old guy in family guy,[{'generated_text': 'what can we learn form the text ?'}]
where is the princess from in The Princess and the Pea,[{'generated_text': 'what is the real meaning of the fairy tales ?'}]
what was life like for immigrant germans in america,[{'generated_text': 'how many people are there in the world according to the article ?'}]
what is in the preamble of the constitution,[{'generated_text': 'what is the text about ?'}]
when was the internet started,[{'generated_text': 'what was the problem with the ARPANET before the internet was developed ?'}]
who is southwest airlines parent company,[{'generated_text': 'what was the first name of the newspaper ?'}]
where is rolling rock brewed,[{'generated_text': 'what is rolling rock ?'}]
when was Pope Benedict XVI elected ?,"[{'generated_text': 'why wasPope Benedict called the "" the chief intellectual force in the Church "" since the mid'}]"
what is the difference between magic eye 3d illusions and 3d technology ?,[{'generated_text': 'which method is used by the military to produce stereoscopic images ?'}]
Who was John Adam 's children,[{'generated_text': 'what was the major achievement of his life ?'}]
who was on the 10 dollar bill,[{'generated_text': 'how many reasons are given why $ 10 bills are used in the us today ?'}]
what is water jet propulsion,[{'generated_text': 'why are the biggest jet-propelled vessels found in the country ?'}]
what is the icd 9 code for anterior synechiae,[{'generated_text': 'what is inflammation of the uvea ?'}]
who is E from entourage,"[{'generated_text': 'who played the role of ""Murphy "" ?'}]"
where was the Shining filmed,[{'generated_text': 'what is the film about ?'}]
what is diet pepsi flavored with,[{'generated_text': 'who was the spokesperson for Patio Diet cola ?'}]
what is Non-profit infrastructure,"[{'generated_text': ""according to the text , what is an important term for judging a country or region 's""}]"
what is genetic differences,[{'generated_text': 'what is the first major cause of genetic variation ?'}]
what is the political tea party,[{'generated_text': 'why do people refer to the original Boston Tea Party ?'}]
what is puerto rico currency,[{'generated_text': 'what did the bank do before the independence of Puerto Rico ?'}]
who is ezekiel in the bible,[{'generated_text': 'what order is the order of the books in the reading ?'}]
what is New Orleans LA first basketball team named,[{'generated_text': 'what is special about the city and Orleans Parish ?'}]
when was birth control banned in the united states,[{'generated_text': 'what was the purpose of the organization ?'}]
what is the word for lung cancer ?,[{'generated_text': 'which is the correct way to treat a possible cancer ?'}]
where was skiing originated,[{'generated_text': 'what is special about skiing ?'}]
what was the main contribution of john maynard keynes made to economics,[{'generated_text': 'what should we do to prevent the negative effects of economic recessions and depressions ?'}]
where are the ten commandments in the bible,[{'generated_text': 'what is the meaning of the 1768 parchment ?'}]
who was the foreman in gone with the wind,[{'generated_text': 'when did the book Gone with the Wind come out ?'}]
what is endodontic dentistry,[{'generated_text': 'what is a root canal therapy ?'}]
what is mini sas protocol,[{'generated_text': 'what is special about Serial Attached SCSI ?'}]
What is the legal definition of `` natural born citizen '' ?,"[{'generated_text': 'according to the text , if a person becomes a natural-born citizen of the us ,'}]"
where was kirk warner 's parents born,[{'generated_text': 'why was he signed by the Packers ?'}]
who is the junior senator of nc,[{'generated_text': 'why is she considered a moderate member of her party ?'}]
who is heisman trophy named after,[{'generated_text': 'where will the award be presented ?'}]
who was the commander of UN forces in Korea,[{'generated_text': 'what did the 27th Brigade do during and after the Korean war ?'}]
When is Lincoln Heights new season begin ?,[{'generated_text': 'when did the show begin ?'}]
what is Christian Protestant ?,[{'generated_text': 'why are non-denominational Christians separated from the Catholic Church ?'}]
where are Giant Panda Bears found ?,[{'generated_text': 'what is the number of pandas in the wild ?'}]
where was kite runner filmed,[{'generated_text': 'which film was nominated for an award ?'}]
where is marijuana legal,[{'generated_text': 'why are tests to detect cannabis increasingly common in many countries ?'}]
where is loxahatchee fl at,"[{'generated_text': 'how does the name "" turtle river "" come from ?'}]"
where are the former renaissance ships ?,[{'generated_text': 'what type of writing is this text ?'}]
What is the function of an epithelial free surface that is smooth ?,[{'generated_text': 'what function as exocrine and endocrine glands ?'}]
What is up with Kent Hovind,"[{'generated_text': ""what 'sovind 's views are contradicted by scientific evidence ?""}]"
what is that dot on the forehead of indian women\,"[{'generated_text': ""what is Bindi 's forehead like ?""}]"
who is stronger kid buu or super android 17,[{'generated_text': 'what did the writer do at the end of the manga ?'}]
what is the comanche housing made from,[{'generated_text': 'what is 250px ?'}]
what is the narration of the story ethan frome told in ?,[{'generated_text': 'what was the novel Ethan from ?'}]
when was coca cola invented,[{'generated_text': 'what does the company sell concentrate for ?'}]
what is four musical bars,[{'generated_text': 'how many types of music are mentioned in the text ?'}]
what is the main source of power in today 's america factories ?,[{'generated_text': 'what is the disadvantage of the Gemasolar solar plant ?'}]
what is primary medicine,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
What was the Song Ocean Ave written about ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is education for a psychiatrist,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is sexual reproductive health rights ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is duo core 2 ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when was the first super bowl,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the origin of fiona,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the official language of america ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is auto quarter panel,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where is diana prince from,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is religions of thailand,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is vat tax ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is high sticking in hockey,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is an sd memory card reader,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is bullying aggression,"[{'generated_text': 'according to the text , who is the primary bully in the text ?'}]"
Who is the amber alert named after ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
Where Is Monica Lewinsky Today,[{'generated_text': 'what was the result of the Lewinsky scandal ?'}]
when is the house of night book awakened coming out,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when was the trogan war,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the lowest temperature ever recorded in antarctica,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who are past pittsburgh steelers football coaches,[{'generated_text': 'who is the only coach in National Football League history to win four Super Bowls ?'}]
what is the difference in meaning of fraud and illegal acts,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
When Is Passover Over,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when is halley 's comet next,[{'generated_text': 'when did the first comet appear in the inner Solar system ?'}]
what is the term used to describe a period o high anti- Communist feelings in the US,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where is Heron [ formular ] place of birth,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is soy made from,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who is harrison ford married to,[{'generated_text': 'who played the title character in the original Star Wars films ?'}]
what is in chapstick ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is rationalism by john locke george berkeley,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the population of qingdao,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the biggest virus,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is crohn 's and colitis,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is the tallest building in the western hemisphere ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where is the youtube headquarters,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
WHO WERE THE SINGERS IN SISTER ACT,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is compatible with directx 9.0b,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where is quetzaltenango in guatemala ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who was more heroic gilgamesh or enkidu,[{'generated_text': 'who wrote the incipit Sha naqba īmuru ?'}]
what is the first video game ever,"[{'generated_text': 'what is the correct use of the term "" video game "" ?'}]"
what is the most successful video game series,[{'generated_text': 'what color indicate a sub-series of a larger video game franchise ?'}]
when was Ann Richards governor of Texas,[{'generated_text': 'when was ann Richards defeated for re-election ?'}]
what is windows data protection data,[{'generated_text': 'what is the most important feature in modern operating systems ?'}]
what is futanaria,[{'generated_text': 'what is futanari ?'}]
what is captcha code,"[{'generated_text': 'what is a "" CAPTCHA "" ?'}]"
Where is the greatest concentration of KFC in the world,[{'generated_text': 'how many companies are there in the company ?'}]
what is phylum cnidaria,"[{'generated_text': ""what are cnidarians ' activities like ?""}]"
what is the meaning of word aztecs,[{'generated_text': 'what is in the center of the Codex Fejérváry-Mayer ?'}]
who is anderson cooper 's mother,[{'generated_text': 'what kind of person is Anderson Cooper ?'}]
what is standard deviation in statistics,[{'generated_text': 'which statement is true about a normal distribution ?'}]
what is melloco entero,[{'generated_text': 'where were papalisa used before the Incas ?'}]
where was the fugitive slave law made,[{'generated_text': 'what was the result of the 1850 compromise ?'}]
when is frank pallone up for reelection,[{'generated_text': 'how many times has he represented the 3rd district ?'}]
who is in the group trinity 5 7,[{'generated_text': 'which song can best describe the album ?'}]
what is eic earned income credit,[{'generated_text': 'why is the earned income tax credit mentioned in the text ?'}]
who is doing the 2011 super bowl halftime show,"[{'generated_text': ""how many viewers watchedBeyonce 's 2013 halftime show performance ?""}]"
when is international men 's day,[{'generated_text': 'what is the whole purpose of the meeting ?'}]
where is valley village ca,[{'generated_text': 'where is the park ?'}]
what is lifespan development in psychology,"[{'generated_text': 'what is "" developmental psychology "" ?'}]"
where is the person who played `` joey stivic '' in all in the family,[{'generated_text': 'what was the first anatomically correct male doll ?'}]
when is rose bowl game in 2012,[{'generated_text': 'what was the official name of the game ?'}]
when was the Declaration of Independence Signing,[{'generated_text': 'what is the subject of much scholarly inquiry ?'}]
What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels ?,[{'generated_text': 'who wrote the score for the film ?'}]
what is the arid vegetation,[{'generated_text': 'what kind of climate is arid ?'}]
who was the president in 1960,[{'generated_text': 'why was the election so close ?'}]
when was the patriot act enacted,[{'generated_text': 'who wrote the bill into law ?'}]
what is the population of snohomish washington ? per year,[{'generated_text': 'where bear plaques with the year the house was built ?'}]
what is the Dave Matthews band so popular,[{'generated_text': 'why did the band take the summer of 2011 off ?'}]
what is transcendental wild oats about,"[{'generated_text': 'what does the phrase "" all work and no play "" mean ?'}]"
who was the first person to climb the mount of the holy cross,[{'generated_text': 'what is special about the Half Moon Pass Trail ?'}]
what is a gsm cell phone,[{'generated_text': 'what is the logo of the 3GPP ?'}]
what was the cash and carry lend lease,[{'generated_text': 'what was the terms of the agreement mentioned in the text ?'}]
what is older pyramid or stonehedge,"[{'generated_text': ""why was the site added to the UNESCO 's list of World Heritage Sites ?""}]"
who was in the women 's ncaa 1994 final four,"[{'generated_text': ""how many times have the women 's championship games been on television ?""}]"
where is the rosetta stone located in 2010,[{'generated_text': 'when was the first full translation of the Greek text appeared ?'}]
where are poison dart frog seen,"[{'generated_text': 'why are the frogs often called `` dart frogs "" ?'}]"
what is cajeta in english,"[{'generated_text': ""what 's the name of cajeta ?""}]"
what is prince william 's last name,[{'generated_text': 'when did prince William take Kiswahili studies ?'}]
what is the language of mali,[{'generated_text': 'how many languages are there in Mali ?'}]
when is lunar new year 2011,[{'generated_text': 'when was the Infobox holiday ?'}]
where is rogers headquarters,[{'generated_text': 'what isRogers Communications Inc. ?'}]
what is the server for the internet,[{'generated_text': 'which is true about the text ?'}]
where were the Winter Olympics in 2006,[{'generated_text': 'how many times hasTurin been the host city for the winter games ?'}]
when was the song help written,"[{'generated_text': 'when did the song "" help ! \'\' come out ?'}]"
who is the creator of bing,[{'generated_text': 'what did the poster for the 2005 exhibition stand for ?'}]
what is the country with highest life expectancy,[{'generated_text': 'what is the number of countries by life expectancy at birth ?'}]
what is the normal inr range,"[{'generated_text': 'according to the text , what is the value of the prothrombin time ?'}]"
What is the value of understanding cross-cultural psychology ?,[{'generated_text': 'what is the common thing between cross-cultural psychology and Cultural psychology ?'}]
when was the lady gaga judas song released,[{'generated_text': 'how did the song get its name ?'}]
what is mpeg4 avc or sp/asp,[{'generated_text': 'what is the project of the jVT ?'}]
WHAT IS NON BINDING ?,[{'generated_text': 'which is the best and proper use of the non-binding arbitration ?'}]
when was the last eruption of mount augustine,"[{'generated_text': ""what 's the volcano Alert level ?""}]"
where is island of belize,[{'generated_text': 'how long has the reef been a UNESCO world heritage Site ?'}]
what is Roxio DLA,[{'generated_text': 'what is the original use of the dLA ?'}]
what is the pill in limitless,[{'generated_text': 'who wrote the novel the Dark Fields ?'}]
where is university of nelson mandela metropolitan located,[{'generated_text': 'how many campuses does the university have ?'}]
where are cover girl cosmetics sold,[{'generated_text': 'what is true about CoverGirl ?'}]
what is darwin 's origin of species,"[{'generated_text': ""what was the reaction of the public toDarwin 's book ?""}]"
What is the name of the late Major League old professor,[{'generated_text': 'where was he elected to the Baseball Hall of Fame ?'}]
What is June known for ?,[{'generated_text': 'how many months are there in the usa according to the text ?'}]
when was the constitution written,[{'generated_text': 'what is a state or other organization ?'}]
what is managerial engineering,[{'generated_text': 'what kind of people are engineers ?'}]
what is the meaning of reimbursement,[{'generated_text': 'what should the policyholder do if a claim is made ?'}]
what is the use of a sales invoice ?,[{'generated_text': 'how can a seller get a discount if paid before the due date ?'}]
what is the main primary bronchus,[{'generated_text': 'why is the azygos vein arches over it from behind ?'}]
what is squash the sport,[{'generated_text': 'what isSquash recognized by the IOC ?'}]
what is fuel oil used for,[{'generated_text': 'what is the best way to recover residual oil ?'}]
where is henry viii buried,[{'generated_text': 'how many times was king of the us ?'}]
what was the ratings of the final episode La Reina Del Sur,[{'generated_text': 'why did the program gain an Emmy nomination ?'}]
what is hosting a website,[{'generated_text': 'what is a web page hosting service ?'}]
when was the first nfl madden game released,[{'generated_text': 'why did the name of the Madden NFL series change ?'}]
Who is Cindy Sheehan and what was her 'peace camp ',[{'generated_text': 'why did sheehan run for Congress in 2008 ?'}]
WHERE WAS WYCLEF JEAN BORN ?,[{'generated_text': 'why was he ineligible to stand in the election ?'}]
what is right to set off payments,[{'generated_text': 'why is the law criticized by some people ?'}]
who are jennifer aniston 's parents,[{'generated_text': 'when did aniston begin her film career ?'}]
what is the real name of a white tiger,[{'generated_text': 'where was the white Bengal tiger found ?'}]
what is pci Interface,[{'generated_text': 'what is the disadvantage of the PCI expansion cards ?'}]
what is in caffeine,[{'generated_text': 'why is caffeine classification by the FDA as GRAS ?'}]
what is the biggest standard size for longboards ?,"[{'generated_text': ""what 's a kicktail cruiser ?""}]"
What is the world 's largest religious population ?,[{'generated_text': 'which is true according to the text ?'}]
what is the name of mountains along california,"[{'generated_text': 'how many years has the "" California Coast ranges Biosphere Reserve "" been included ?'}]"
when was the first automobile,[{'generated_text': 'how many vehicles were there in use per country from 2001 to 2007 ?'}]
When was John F. Kennedy born and when was he assassinated,[{'generated_text': 'why did the Kennedy administration adopt the policy of the Strategic Hamlet program ?'}]
what is slc fire alarm,[{'generated_text': 'what is a Vigilant VM-1 fire alarm control unit ?'}]
what was the first video to air on mtv,"[{'generated_text': ""when was mTV 's first day on the air on digital ?""}]"
when was Bandaranaike Airport built,[{'generated_text': 'what is the relationship betweenMattala Rajapaksa and the two airports ?'}]
what is black swan about,[{'generated_text': 'what is the plot of the film ?'}]
what is the internal pressure of a bomb calorimeter,[{'generated_text': 'what is the value for the energy given off or absorbed during the reaction ?'}]
where are flip flops made at,[{'generated_text': 'how do you feel when you are using a flip-flop ?'}]
what is general average sacrifice,[{'generated_text': 'what is the law of general average ?'}]
when was mumpsvax administered in 1960,[{'generated_text': 'how much should a child in a developing country pay for a vaccine every year ?'}]
when is carnival in trinidad for 2011,[{'generated_text': 'which is the most celebrated type of music in the world now ?'}]
who is the mayor of chicago 2011,[{'generated_text': 'how did mr. Emanuel win the election ?'}]
what is the song pumped up kicks about ?,"[{'generated_text': 'who wrote the song "" Pumped up Kicks "" ?'}]"
when is the wv state fair,[{'generated_text': 'when is the state fair of w.Va. ?'}]
who was the 16 president of the united states,[{'generated_text': 'who was the first elected president of the us ?'}]
what is the lombardi trophy made of ?,[{'generated_text': 'why was the Lombardi Trophy named after ?'}]
who is the world 's oldest person,[{'generated_text': 'how old was calment when she died ?'}]
who is the inside guy on people 's court,[{'generated_text': 'how long did the show last ?'}]
when was the state of utah established,[{'generated_text': 'where is the world headquarters of the LDS Church located ?'}]
what is the location of coldwater ms,[{'generated_text': 'where is the park ?'}]
what is the function of the hard palate,[{'generated_text': 'which part of the body is the soft palate ?'}]
what is the jewish bible called,[{'generated_text': 'where is the text most probably from ?'}]
what is the drinking and driving act,[{'generated_text': 'what should a driver do at the Sobriety checkpoint in most nations ?'}]
what was the first police department in the United states ?,[{'generated_text': 'what is the duty of a correctional officer ?'}]
when is world war hulk movie come,[{'generated_text': 'when did the first issue of the Marvel comics appear ?'}]
WHERE WAS JOHN WAYNE BORN,[{'generated_text': 'what was the cause of his death ?'}]
what was galileo galilei 's personality,[{'generated_text': 'what was the greatest contribution made by Copernican ?'}]
what is the organic layer in an amoled screen,[{'generated_text': 'how does an OLED work ?'}]
what is eggnog made of,[{'generated_text': 'what can be used to make egg milk punch ?'}]
what is in a pasty,[{'generated_text': 'how many kinds of pasties are made ?'}]
what is sympathetic stimulation,[{'generated_text': 'what is the general action of the nervous system ?'}]
WHAT IS THE SPEED CLASS FOR CAMERA,[{'generated_text': 'what is the most suitable title for the text ?'}]
what was the criticism of the new deal,"[{'generated_text': ""what 's the list of critics of the new Deal ?""}]"
where is larry the cable guy from,"[{'generated_text': 'what is the catchphrase of "" Git-R-Done ! "" ?'}]"
what is the purpose of vitamin d,[{'generated_text': 'what is the best evidence of benefit for bone health and a decrease in mortality in elderly women'}]
what is an element on a periodic table,[{'generated_text': 'how many years has the periodic table been developed according to the text ?'}]
what is minimum wage of 2010,[{'generated_text': 'how many people earned wages below the minimum ?'}]
what is bourbon made of,[{'generated_text': 'why was Bourbon whiskey produced in the 18th century ?'}]
what is cta used for,[{'generated_text': 'what is a computed tomography ?'}]
where is bastille day celebrated,[{'generated_text': 'how many countries are mentioned in the article ?'}]
when was america pioneered,[{'generated_text': 'how many countries are there in the world according to the text ?'}]
where was the first march madness game played,[{'generated_text': 'who started the March Madness celebration during 1984 ?'}]
what is neo lubrication,[{'generated_text': 'what are synthetic motor oil and synthetic oil ?'}]
what is steve-from jackass last name,"[{'generated_text': 'when did the show place # 68 on the "" new TV Classics "" list ?'}]"
who is roseanne barr married to,[{'generated_text': 'what didarr do in the eight years preceding her sitcom Roseanne ?'}]
when was jesus baptized,[{'generated_text': 'why do modern scholars view the baptism of Jesus as an historical event ?'}]
what is vitamin b12 used for,[{'generated_text': 'what is the extra utility of vitamin B12 ?'}]
who was in full metal jacket,[{'generated_text': 'what did the two soldiers do in the Tet Offensive ?'}]
